Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDB53,OUT046,2336.595654782092
DRP47,OUT019,371.28136079744604
FDA14,OUT013,2336.595654782092
DRC24,OUT035,2336.595654782092
FDW21,OUT018,1995.4987392241385
NCH29,OUT046,2336.595654782092
FDU58,OUT013,2336.595654782092
FDY27,OUT017,2275.220073262024
FDV56,OUT035,2336.595654782092
FDT59,OUT046,2336.595654782092
FDB23,OUT046,2336.595654782092
FDR49,OUT045,2275.220073262024
FDB03,OUT010,309.9057792773781
FDN39,OUT045,2275.220073262024
FDX02,OUT027,3694.0385576470608
FDQ16,OUT027,3694.0385576470608
FDU35,OUT018,1995.4987392241385
NCT29,OUT013,2336.595654782092
FDZ27,OUT046,2336.595654782092
FDN57,OUT017,2275.220073262024
FDA03,OUT018,1995.4987392241385
FDZ36,OUT045,2275.220073262024
NCU05,OUT013,2336.595654782092
FDT39,OUT018,1995.4987392241385
FDK60,OUT017,2275.220073262024
FDZ25,OUT017,2275.220073262024
FDG12,OUT046,2336.595654782092
DRB01,OUT019,371.28136079744604
NCC43,OUT027,3694.0385576470608
FDX13,OUT019,371.28136079744604
FDM22,OUT049,2336.595654782092
FDJ03,OUT027,3694.0385576470608
FDU14,OUT018,1995.4987392241385
FDB33,OUT010,309.9057792773781
FDP27,OUT046,2336.595654782092
FDO38,OUT010,309.9057792773781
FDE28,OUT027,3694.0385576470608
FDO27,OUT035,2336.595654782092
DRL23,OUT027,3694.0385576470608
FDS28,OUT046,2336.595654782092
FDX24,OUT013,2336.595654782092
FDZ02,OUT035,2336.595654782092
FDL46,OUT045,2275.220073262024
FDS60,OUT027,3694.0385576470608
NCO06,OUT017,2275.220073262024
FDO16,OUT035,2336.595654782092
FDC60,OUT049,2336.595654782092
FDA48,OUT018,1995.4987392241385
FDZ36,OUT027,3694.0385576470608
FDK27,OUT045,2275.220073262024
FDW23,OUT018,1995.4987392241385
FDM14,OUT018,1995.4987392241385
FDM14,OUT013,2336.595654782092
FDW60,OUT018,1995.4987392241385
FDE21,OUT013,2336.595654782092
NCM42,OUT035,2336.595654782092
FDY59,OUT010,309.9057792773781
DRI49,OUT049,2336.595654782092
FDT28,OUT019,371.28136079744604
FDQ22,OUT018,1995.4987392241385
FDR60,OUT049,2336.595654782092
FDC50,OUT019,371.28136079744604
FDV24,OUT013,2336.595654782092
DRF48,OUT010,309.9057792773781
FDQ47,OUT046,2336.595654782092
DRN36,OUT049,2336.595654782092
NCY06,OUT035,2336.595654782092
FDE52,OUT035,2336.595654782092
NCB54,OUT045,2275.220073262024
NCF31,OUT035,2336.595654782092
FDJ08,OUT027,3694.0385576470608
NCC07,OUT017,2275.220073262024
NCD19,OUT027,3694.0385576470608
FDL46,OUT049,2336.595654782092
FDM20,OUT045,2275.220073262024
NCI06,OUT010,309.9057792773781
DRM11,OUT035,2336.595654782092
NCH07,OUT018,1995.4987392241385
FDS23,OUT013,2336.595654782092
FDO49,OUT018,1995.4987392241385
FDS35,OUT049,2336.595654782092
DRK39,OUT045,2275.220073262024
DRI39,OUT049,2336.595654782092
FDV04,OUT017,2275.220073262024
NCN14,OUT035,2336.595654782092
FDH08,OUT013,2336.595654782092
FDS20,OUT046,2336.595654782092
FDV40,OUT049,2336.595654782092
FDZ48,OUT010,309.9057792773781
FDS24,OUT027,3694.0385576470608
FDK44,OUT049,2336.595654782092
FDS48,OUT045,2275.220073262024
FDK26,OUT010,309.9057792773781
FDD23,OUT045,2275.220073262024
NCH54,OUT017,2275.220073262024
NCP14,OUT010,309.9057792773781
FDM60,OUT010,309.9057792773781
FDV24,OUT017,2275.220073262024
FDH08,OUT018,1995.4987392241385
FDS12,OUT027,3694.0385576470608
FDR39,OUT027,3694.0385576470608
FDP12,OUT027,3694.0385576470608
DRF60,OUT027,3694.0385576470608
FDC09,OUT035,2336.595654782092
FDF50,OUT018,1995.4987392241385
FDG28,OUT035,2336.595654782092
NCE19,OUT017,2275.220073262024
NCM53,OUT010,309.9057792773781
NCN18,OUT049,2336.595654782092
FDF32,OUT035,2336.595654782092
FDF11,OUT013,2336.595654782092
DRI59,OUT049,2336.595654782092
NCG54,OUT035,2336.595654782092
FDM44,OUT046,2336.595654782092
FDT57,OUT018,1995.4987392241385
FDV24,OUT046,2336.595654782092
FDI50,OUT019,371.28136079744604
FDS09,OUT035,2336.595654782092
NCC31,OUT027,3694.0385576470608
FDQ07,OUT019,371.28136079744604
FDC22,OUT017,2275.220073262024
FDZ56,OUT046,2336.595654782092
FDZ40,OUT019,371.28136079744604
FDS46,OUT027,3694.0385576470608
DRD24,OUT045,2275.220073262024
FDV45,OUT017,2275.220073262024
FDL26,OUT045,2275.220073262024
FDA56,OUT018,1995.4987392241385
FDN27,OUT046,2336.595654782092
FDM20,OUT049,2336.595654782092
FDO16,OUT017,2275.220073262024
FDL03,OUT035,2336.595654782092
FDE58,OUT046,2336.595654782092
FDI02,OUT027,3694.0385576470608
NCC55,OUT019,371.28136079744604
FDR03,OUT018,1995.4987392241385
FDB14,OUT017,2275.220073262024
FDR45,OUT013,2336.595654782092
NCN07,OUT017,2275.220073262024
FDM51,OUT019,371.28136079744604
FDT52,OUT027,3694.0385576470608
FDL26,OUT046,2336.595654782092
NCZ42,OUT046,2336.595654782092
DRI47,OUT019,371.28136079744604
FDW40,OUT013,2336.595654782092
FDN34,OUT046,2336.595654782092
FDS01,OUT035,2336.595654782092
NCG55,OUT045,2275.220073262024
FDC11,OUT035,2336.595654782092
FDX35,OUT018,1995.4987392241385
NCB06,OUT046,2336.595654782092
FDR09,OUT019,371.28136079744604
FDC53,OUT017,2275.220073262024
FDY45,OUT013,2336.595654782092
FDA22,OUT010,309.9057792773781
FDE02,OUT035,2336.595654782092
FDW21,OUT045,2275.220073262024
FDV34,OUT046,2336.595654782092
FDS59,OUT049,2336.595654782092
NCW17,OUT017,2275.220073262024
NCK54,OUT046,2336.595654782092
FDG17,OUT019,371.28136079744604
FDG35,OUT017,2275.220073262024
FDD08,OUT010,309.9057792773781
NCO07,OUT017,2275.220073262024
FDJ10,OUT010,309.9057792773781
FDW36,OUT017,2275.220073262024
FDW21,OUT010,309.9057792773781
FDY19,OUT017,2275.220073262024
DRE03,OUT013,2336.595654782092
NCC55,OUT049,2336.595654782092
FDH52,OUT010,309.9057792773781
FDO09,OUT017,2275.220073262024
FDU43,OUT045,2275.220073262024
FDX09,OUT010,309.9057792773781
FDH40,OUT019,371.28136079744604
FDW58,OUT017,2275.220073262024
FDC47,OUT017,2275.220073262024
NCR41,OUT035,2336.595654782092
DRG49,OUT035,2336.595654782092
FDC52,OUT027,3694.0385576470608
FDY13,OUT046,2336.595654782092
FDY35,OUT013,2336.595654782092
FDI35,OUT017,2275.220073262024
NCU18,OUT049,2336.595654782092
FDY33,OUT018,1995.4987392241385
FDC15,OUT027,3694.0385576470608
FDU01,OUT049,2336.595654782092
NCU42,OUT046,2336.595654782092
NCV29,OUT018,1995.4987392241385
NCY30,OUT017,2275.220073262024
FDQ46,OUT049,2336.595654782092
FDG58,OUT027,3694.0385576470608
FDK33,OUT017,2275.220073262024
NCD07,OUT045,2275.220073262024
NCX29,OUT027,3694.0385576470608
NCT42,OUT013,2336.595654782092
DRN59,OUT035,2336.595654782092
FDI44,OUT035,2336.595654782092
FDA45,OUT049,2336.595654782092
FDP31,OUT045,2275.220073262024
FDY01,OUT046,2336.595654782092
FDT09,OUT018,1995.4987392241385
DRH03,OUT027,3694.0385576470608
FDA36,OUT018,1995.4987392241385
NCF31,OUT017,2275.220073262024
FDG14,OUT049,2336.595654782092
FDG28,OUT027,3694.0385576470608
FDU14,OUT049,2336.595654782092
FDY47,OUT019,371.28136079744604
FDI56,OUT049,2336.595654782092
DRD01,OUT013,2336.595654782092
FDM22,OUT046,2336.595654782092
FDH33,OUT013,2336.595654782092
DRZ24,OUT013,2336.595654782092
NCQ38,OUT046,2336.595654782092
FDO16,OUT027,3694.0385576470608
FDU07,OUT027,3694.0385576470608
NCB07,OUT013,2336.595654782092
FDU48,OUT045,2275.220073262024
NCM43,OUT045,2275.220073262024
FDR31,OUT010,309.9057792773781
DRK49,OUT018,1995.4987392241385
NCI30,OUT010,309.9057792773781
DRD60,OUT017,2275.220073262024
NCG19,OUT046,2336.595654782092
FDH12,OUT035,2336.595654782092
FDM32,OUT035,2336.595654782092
FDM27,OUT035,2336.595654782092
NCU53,OUT027,3694.0385576470608
NCQ18,OUT046,2336.595654782092
FDS10,OUT013,2336.595654782092
FDB33,OUT027,3694.0385576470608
FDI12,OUT013,2336.595654782092
NCW42,OUT013,2336.595654782092
NCC06,OUT018,1995.4987392241385
FDW02,OUT017,2275.220073262024
NCD43,OUT017,2275.220073262024
FDM57,OUT018,1995.4987392241385
FDA58,OUT017,2275.220073262024
FDK56,OUT046,2336.595654782092
FDP52,OUT045,2275.220073262024
FDW20,OUT018,1995.4987392241385
FDS52,OUT049,2336.595654782092
NCT29,OUT018,1995.4987392241385
NCL54,OUT013,2336.595654782092
FDC05,OUT045,2275.220073262024
FDF34,OUT035,2336.595654782092
FDP03,OUT027,3694.0385576470608
FDD32,OUT010,309.9057792773781
FDZ10,OUT045,2275.220073262024
FDZ40,OUT035,2336.595654782092
FDD51,OUT018,1995.4987392241385
NCY30,OUT019,371.28136079744604
FDP58,OUT017,2275.220073262024
FDV49,OUT017,2275.220073262024
FDY24,OUT019,371.28136079744604
NCO55,OUT017,2275.220073262024
FDR13,OUT017,2275.220073262024
FDS51,OUT017,2275.220073262024
FDP26,OUT045,2275.220073262024
NCB54,OUT027,3694.0385576470608
FDF32,OUT017,2275.220073262024
FDN31,OUT018,1995.4987392241385
DRM48,OUT017,2275.220073262024
FDN20,OUT049,2336.595654782092
DRL01,OUT046,2336.595654782092
FDV56,OUT049,2336.595654782092
DRH13,OUT027,3694.0385576470608
FDA03,OUT017,2275.220073262024
FDF47,OUT027,3694.0385576470608
FDX32,OUT046,2336.595654782092
FDX57,OUT049,2336.595654782092
NCA30,OUT045,2275.220073262024
FDO49,OUT013,2336.595654782092
FDL04,OUT019,371.28136079744604
DRM48,OUT035,2336.595654782092
FDR16,OUT013,2336.595654782092
NCC19,OUT018,1995.4987392241385
NCE42,OUT045,2275.220073262024
FDY24,OUT017,2275.220073262024
FDH19,OUT049,2336.595654782092
FDJ46,OUT013,2336.595654782092
FDN45,OUT010,309.9057792773781
FDY08,OUT035,2336.595654782092
FDZ37,OUT035,2336.595654782092
NCT30,OUT045,2275.220073262024
DRY23,OUT018,1995.4987392241385
NCZ30,OUT018,1995.4987392241385
FDC44,OUT018,1995.4987392241385
FDB45,OUT035,2336.595654782092
FDY04,OUT013,2336.595654782092
FDM27,OUT046,2336.595654782092
FDZ43,OUT017,2275.220073262024
FDT39,OUT019,371.28136079744604
NCC06,OUT019,371.28136079744604
FDL15,OUT027,3694.0385576470608
FDL57,OUT017,2275.220073262024
FDU08,OUT046,2336.595654782092
FDK40,OUT017,2275.220073262024
FDQ12,OUT010,309.9057792773781
FDS48,OUT017,2275.220073262024
FDP09,OUT045,2275.220073262024
FDW21,OUT049,2336.595654782092
FDY25,OUT035,2336.595654782092
DRE13,OUT017,2275.220073262024
FDV43,OUT019,371.28136079744604
FDD22,OUT045,2275.220073262024
FDM46,OUT019,371.28136079744604
NCO30,OUT010,309.9057792773781
FDM25,OUT046,2336.595654782092
NCN41,OUT049,2336.595654782092
FDU24,OUT045,2275.220073262024
FDZ50,OUT046,2336.595654782092
FDP45,OUT013,2336.595654782092
NCM54,OUT045,2275.220073262024
FDW10,OUT019,371.28136079744604
FDP20,OUT017,2275.220073262024
FDK32,OUT046,2336.595654782092
FDN52,OUT049,2336.595654782092
FDM58,OUT045,2275.220073262024
FDZ46,OUT027,3694.0385576470608
NCA18,OUT018,1995.4987392241385
FDD35,OUT046,2336.595654782092
NCK31,OUT035,2336.595654782092
FDI40,OUT027,3694.0385576470608
FDT50,OUT019,371.28136079744604
NCT06,OUT046,2336.595654782092
FDT31,OUT035,2336.595654782092
FDT45,OUT049,2336.595654782092
FDT13,OUT045,2275.220073262024
FDO50,OUT045,2275.220073262024
NCU18,OUT010,309.9057792773781
NCR54,OUT049,2336.595654782092
NCO18,OUT018,1995.4987392241385
FDU09,OUT045,2275.220073262024
FDT13,OUT018,1995.4987392241385
FDE09,OUT046,2336.595654782092
NCK53,OUT019,371.28136079744604
FDG45,OUT049,2336.595654782092
DRH15,OUT035,2336.595654782092
FDO21,OUT019,371.28136079744604
FDD14,OUT027,3694.0385576470608
FDC09,OUT046,2336.595654782092
FDH45,OUT027,3694.0385576470608
FDV32,OUT046,2336.595654782092
FDG12,OUT035,2336.595654782092
FDS32,OUT013,2336.595654782092
NCL55,OUT018,1995.4987392241385
DRE01,OUT035,2336.595654782092
DRE15,OUT049,2336.595654782092
NCL42,OUT045,2275.220073262024
FDP31,OUT013,2336.595654782092
FDN33,OUT018,1995.4987392241385
FDZ59,OUT046,2336.595654782092
FDE45,OUT010,309.9057792773781
FDJ07,OUT013,2336.595654782092
FDQ45,OUT018,1995.4987392241385
FDM33,OUT027,3694.0385576470608
FDO15,OUT010,309.9057792773781
FDM46,OUT013,2336.595654782092
FDR03,OUT045,2275.220073262024
FDY49,OUT018,1995.4987392241385
FDQ60,OUT045,2275.220073262024
FDW10,OUT049,2336.595654782092
FDO51,OUT049,2336.595654782092
FDJ40,OUT018,1995.4987392241385
FDS20,OUT018,1995.4987392241385
FDU45,OUT013,2336.595654782092
FDV02,OUT035,2336.595654782092
FDN09,OUT046,2336.595654782092
NCM55,OUT027,3694.0385576470608
FDN23,OUT018,1995.4987392241385
FDY31,OUT010,309.9057792773781
FDW03,OUT010,309.9057792773781
FDD14,OUT046,2336.595654782092
FDV23,OUT017,2275.220073262024
DRI03,OUT045,2275.220073262024
FDN13,OUT035,2336.595654782092
FDF45,OUT027,3694.0385576470608
FDU46,OUT035,2336.595654782092
FDB57,OUT049,2336.595654782092
FDV12,OUT049,2336.595654782092
FDQ58,OUT013,2336.595654782092
NCA18,OUT017,2275.220073262024
FDH52,OUT049,2336.595654782092
FDM24,OUT018,1995.4987392241385
NCP43,OUT027,3694.0385576470608
NCO18,OUT019,371.28136079744604
FDM32,OUT017,2275.220073262024
NCL07,OUT017,2275.220073262024
FDK03,OUT013,2336.595654782092
FDP59,OUT017,2275.220073262024
FDQ24,OUT049,2336.595654782092
FDQ16,OUT018,1995.4987392241385
FDU44,OUT013,2336.595654782092
FDH28,OUT010,309.9057792773781
FDV28,OUT019,371.28136079744604
FDM22,OUT045,2275.220073262024
FDR56,OUT046,2336.595654782092
FDV39,OUT049,2336.595654782092
FDU37,OUT019,371.28136079744604
FDQ11,OUT010,309.9057792773781
FDX02,OUT045,2275.220073262024
NCS42,OUT018,1995.4987392241385
FDY57,OUT027,3694.0385576470608
FDB21,OUT049,2336.595654782092
FDE28,OUT017,2275.220073262024
FDQ55,OUT017,2275.220073262024
FDA48,OUT049,2336.595654782092
FDZ19,OUT045,2275.220073262024
NCC43,OUT045,2275.220073262024
NCV18,OUT046,2336.595654782092
NCA42,OUT018,1995.4987392241385
FDY45,OUT046,2336.595654782092
NCC30,OUT045,2275.220073262024
FDM57,OUT013,2336.595654782092
FDL09,OUT010,309.9057792773781
FDB09,OUT027,3694.0385576470608
FDT44,OUT035,2336.595654782092
NCT06,OUT027,3694.0385576470608
FDX26,OUT049,2336.595654782092
FDK32,OUT013,2336.595654782092
DRA12,OUT046,2336.595654782092
FDO46,OUT010,309.9057792773781
FDE52,OUT013,2336.595654782092
NCH42,OUT045,2275.220073262024
FDV08,OUT035,2336.595654782092
FDB47,OUT018,1995.4987392241385
FDC28,OUT010,309.9057792773781
FDD22,OUT046,2336.595654782092
FDS07,OUT027,3694.0385576470608
DRI13,OUT045,2275.220073262024
FDG32,OUT018,1995.4987392241385
FDU14,OUT017,2275.220073262024
FDD28,OUT019,371.28136079744604
NCP41,OUT017,2275.220073262024
FDS08,OUT049,2336.595654782092
FDX47,OUT045,2275.220073262024
FDC53,OUT019,371.28136079744604
FDQ19,OUT035,2336.595654782092
FDL14,OUT045,2275.220073262024
FDM33,OUT019,371.28136079744604
FDA51,OUT045,2275.220073262024
FDZ27,OUT018,1995.4987392241385
FDT04,OUT046,2336.595654782092
DRC13,OUT049,2336.595654782092
FDR16,OUT027,3694.0385576470608
FDQ03,OUT027,3694.0385576470608
FDE38,OUT035,2336.595654782092
DRH23,OUT027,3694.0385576470608
FDT11,OUT019,371.28136079744604
FDD09,OUT035,2336.595654782092
FDR40,OUT045,2275.220073262024
FDX07,OUT017,2275.220073262024
FDR07,OUT035,2336.595654782092
FDA51,OUT017,2275.220073262024
FDT59,OUT019,371.28136079744604
FDF20,OUT017,2275.220073262024
FDR13,OUT045,2275.220073262024
FDY26,OUT049,2336.595654782092
FDW04,OUT017,2275.220073262024
FDK52,OUT017,2275.220073262024
FDN60,OUT049,2336.595654782092
FDM09,OUT019,371.28136079744604
FDP46,OUT049,2336.595654782092
FDB50,OUT019,371.28136079744604
NCQ29,OUT049,2336.595654782092
FDP16,OUT027,3694.0385576470608
FDX33,OUT018,1995.4987392241385
FDP07,OUT010,309.9057792773781
FDN22,OUT046,2336.595654782092
FDF39,OUT049,2336.595654782092
FDS21,OUT017,2275.220073262024
NCM42,OUT013,2336.595654782092
FDK50,OUT019,371.28136079744604
DRF13,OUT027,3694.0385576470608
FDH35,OUT018,1995.4987392241385
FDP60,OUT018,1995.4987392241385
DRJ49,OUT027,3694.0385576470608
NCT42,OUT019,371.28136079744604
FDE38,OUT049,2336.595654782092
FDI04,OUT049,2336.595654782092
NCH54,OUT045,2275.220073262024
FDT56,OUT049,2336.595654782092
DRD15,OUT018,1995.4987392241385
FDV58,OUT013,2336.595654782092
FDP21,OUT049,2336.595654782092
FDH05,OUT013,2336.595654782092
FDR10,OUT027,3694.0385576470608
NCP06,OUT045,2275.220073262024
FDF33,OUT049,2336.595654782092
DRK37,OUT013,2336.595654782092
DRH49,OUT045,2275.220073262024
FDT58,OUT013,2336.595654782092
FDD41,OUT018,1995.4987392241385
FDP40,OUT018,1995.4987392241385
FDM51,OUT027,3694.0385576470608
FDO45,OUT010,309.9057792773781
FDW33,OUT010,309.9057792773781
FDY24,OUT045,2275.220073262024
FDB10,OUT010,309.9057792773781
FDM40,OUT035,2336.595654782092
NCI06,OUT017,2275.220073262024
FDW12,OUT019,371.28136079744604
FDX48,OUT027,3694.0385576470608
NCW05,OUT027,3694.0385576470608
FDX27,OUT017,2275.220073262024
DRM37,OUT045,2275.220073262024
FDA38,OUT045,2275.220073262024
FDR36,OUT046,2336.595654782092
FDZ45,OUT046,2336.595654782092
FDG05,OUT017,2275.220073262024
FDK28,OUT013,2336.595654782092
FDV47,OUT045,2275.220073262024
FDN21,OUT045,2275.220073262024
FDP20,OUT027,3694.0385576470608
FDI35,OUT045,2275.220073262024
DRY23,OUT013,2336.595654782092
FDA56,OUT017,2275.220073262024
FDB09,OUT013,2336.595654782092
NCO26,OUT027,3694.0385576470608
FDQ49,OUT018,1995.4987392241385
FDI52,OUT027,3694.0385576470608
FDZ44,OUT027,3694.0385576470608
FDZ09,OUT018,1995.4987392241385
FDY03,OUT049,2336.595654782092
NCG42,OUT017,2275.220073262024
DRI13,OUT027,3694.0385576470608
FDQ32,OUT013,2336.595654782092
FDW16,OUT035,2336.595654782092
FDU27,OUT046,2336.595654782092
FDR28,OUT010,309.9057792773781
FDQ49,OUT010,309.9057792773781
FDS37,OUT046,2336.595654782092
FDW26,OUT018,1995.4987392241385
FDX12,OUT018,1995.4987392241385
NCP06,OUT013,2336.595654782092
FDW45,OUT010,309.9057792773781
NCN30,OUT049,2336.595654782092
FDN24,OUT049,2336.595654782092
NCL41,OUT027,3694.0385576470608
FDR02,OUT019,371.28136079744604
FDD09,OUT010,309.9057792773781
FDS33,OUT010,309.9057792773781
FDU22,OUT045,2275.220073262024
FDI53,OUT013,2336.595654782092
DRH01,OUT049,2336.595654782092
FDX32,OUT013,2336.595654782092
NCP30,OUT018,1995.4987392241385
FDB60,OUT045,2275.220073262024
FDB14,OUT049,2336.595654782092
NCP02,OUT035,2336.595654782092
FDJ10,OUT017,2275.220073262024
FDG34,OUT046,2336.595654782092
NCB18,OUT017,2275.220073262024
FDM16,OUT049,2336.595654782092
FDW25,OUT018,1995.4987392241385
FDB35,OUT010,309.9057792773781
DRN11,OUT013,2336.595654782092
FDF41,OUT019,371.28136079744604
FDH16,OUT045,2275.220073262024
NCQ50,OUT018,1995.4987392241385
DRH23,OUT018,1995.4987392241385
DRJ37,OUT013,2336.595654782092
DRJ24,OUT027,3694.0385576470608
FDY16,OUT035,2336.595654782092
FDQ27,OUT045,2275.220073262024
FDZ33,OUT045,2275.220073262024
FDF29,OUT045,2275.220073262024
FDA08,OUT049,2336.595654782092
FDG31,OUT046,2336.595654782092
FDE34,OUT019,371.28136079744604
NCR30,OUT027,3694.0385576470608
FDV33,OUT035,2336.595654782092
DRZ24,OUT018,1995.4987392241385
NCL54,OUT035,2336.595654782092
FDR12,OUT049,2336.595654782092
NCC54,OUT046,2336.595654782092
DRN59,OUT013,2336.595654782092
FDX50,OUT019,371.28136079744604
FDV31,OUT027,3694.0385576470608
NCA29,OUT027,3694.0385576470608
FDW60,OUT049,2336.595654782092
FDX08,OUT017,2275.220073262024
DRD49,OUT013,2336.595654782092
FDD33,OUT046,2336.595654782092
FDW35,OUT013,2336.595654782092
FDJ36,OUT017,2275.220073262024
FDV51,OUT035,2336.595654782092
FDW36,OUT046,2336.595654782092
FDH35,OUT046,2336.595654782092
NCS30,OUT027,3694.0385576470608
FDN49,OUT017,2275.220073262024
FDL08,OUT018,1995.4987392241385
FDI09,OUT013,2336.595654782092
FDP19,OUT018,1995.4987392241385
FDU21,OUT010,309.9057792773781
NCP41,OUT045,2275.220073262024
FDY10,OUT013,2336.595654782092
FDP12,OUT018,1995.4987392241385
NCN26,OUT049,2336.595654782092
FDK44,OUT013,2336.595654782092
FDC28,OUT049,2336.595654782092
FDJ41,OUT027,3694.0385576470608
NCT29,OUT035,2336.595654782092
NCH42,OUT019,371.28136079744604
FDU60,OUT018,1995.4987392241385
FDS02,OUT045,2275.220073262024
FDC51,OUT046,2336.595654782092
FDU03,OUT013,2336.595654782092
FDX39,OUT045,2275.220073262024
NCY05,OUT010,309.9057792773781
NCL06,OUT027,3694.0385576470608
FDD32,OUT035,2336.595654782092
NCN41,OUT045,2275.220073262024
NCX53,OUT049,2336.595654782092
FDU57,OUT019,371.28136079744604
FDQ23,OUT046,2336.595654782092
FDQ52,OUT045,2275.220073262024
FDC14,OUT045,2275.220073262024
FDY09,OUT035,2336.595654782092
FDQ28,OUT045,2275.220073262024
FDV25,OUT046,2336.595654782092
FDJ07,OUT035,2336.595654782092
DRB25,OUT049,2336.595654782092
FDK52,OUT019,371.28136079744604
FDY52,OUT027,3694.0385576470608
FDB28,OUT046,2336.595654782092
FDT36,OUT035,2336.595654782092
FDV25,OUT017,2275.220073262024
NCN07,OUT027,3694.0385576470608
FDC57,OUT017,2275.220073262024
FDQ03,OUT018,1995.4987392241385
FDU23,OUT017,2275.220073262024
NCX41,OUT035,2336.595654782092
NCD06,OUT035,2336.595654782092
FDW08,OUT045,2275.220073262024
NCU29,OUT017,2275.220073262024
NCE06,OUT013,2336.595654782092
FDV52,OUT010,309.9057792773781
FDB02,OUT017,2275.220073262024
NCR18,OUT045,2275.220073262024
FDK16,OUT049,2336.595654782092
NCQ29,OUT010,309.9057792773781
FDZ01,OUT019,371.28136079744604
FDW27,OUT035,2336.595654782092
FDD17,OUT018,1995.4987392241385
FDW39,OUT013,2336.595654782092
DRH59,OUT045,2275.220073262024
FDS52,OUT013,2336.595654782092
FDU40,OUT027,3694.0385576470608
NCF54,OUT013,2336.595654782092
FDH46,OUT045,2275.220073262024
NCP14,OUT049,2336.595654782092
FDH50,OUT049,2336.595654782092
DRF15,OUT010,309.9057792773781
FDV27,OUT027,3694.0385576470608
NCJ06,OUT049,2336.595654782092
FDN02,OUT018,1995.4987392241385
FDQ51,OUT049,2336.595654782092
FDQ07,OUT017,2275.220073262024
FDS45,OUT049,2336.595654782092
NCJ06,OUT045,2275.220073262024
FDD36,OUT035,2336.595654782092
FDY25,OUT045,2275.220073262024
FDU52,OUT046,2336.595654782092
DRK47,OUT017,2275.220073262024
NCL30,OUT017,2275.220073262024
FDN22,OUT035,2336.595654782092
NCF30,OUT027,3694.0385576470608
FDK03,OUT035,2336.595654782092
FDT45,OUT017,2275.220073262024
NCC54,OUT027,3694.0385576470608
FDP08,OUT018,1995.4987392241385
FDU44,OUT046,2336.595654782092
DRG39,OUT035,2336.595654782092
FDU32,OUT049,2336.595654782092
FDY27,OUT049,2336.595654782092
NCP54,OUT013,2336.595654782092
NCZ41,OUT049,2336.595654782092
DRL49,OUT013,2336.595654782092
FDI05,OUT018,1995.4987392241385
